Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2025-11-21T07:59:00.913Z","Included","auto","No","17976","0","528128","4286","550390","0.18"
"2025-11-21T07:54:42.082Z","Included","auto","No","24155","0","561920","3649","589724","0.19"
"2025-11-21T07:49:38.401Z","Included","auto","No","10333","0","286720","3162","300215","0.10"
"2025-11-21T07:45:44.826Z","Included","auto","No","14709","0","596992","5180","616881","0.20"
"2025-11-21T07:37:07.506Z","Included","auto","No","9472","0","155136","20316","184924","0.17"
"2025-11-21T07:33:00.345Z","Included","auto","No","11824","0","363776","3761","379361","0.13"
"2025-11-21T07:27:30.523Z","Included","auto","No","15724","0","355840","5021","376585","0.14"
"2025-11-21T07:20:23.678Z","Included","auto","No","24759","0","371968","5453","402180","0.16"
"2025-11-21T07:16:21.758Z","Included","auto","No","199596","0","1479168","3710","1682474","0.64"
"2025-11-21T07:11:00.630Z","Included","auto","No","0","0","0","0","0","0.00"
"2025-11-21T06:59:31.931Z","Included","auto","No","6740","0","509440","1724","517904","0.15"
"2025-11-21T06:58:01.376Z","Included","auto","No","6743","0","657408","1231","665382","0.18"
"2025-11-21T06:53:29.835Z","Included","auto","No","33290","0","2220288","7733","2261311","0.64"
"2025-11-21T06:51:01.724Z","Included","auto","No","5284","0","508672","1900","515856","0.15"
"2025-11-21T06:47:54.955Z","Included","auto","No","6156","0","490240","1711","498107","0.14"
"2025-11-21T06:46:28.983Z","Included","auto","No","3383","0","356352","1002","360737","0.10"
